
> legasi-video@1.0.0 build
> remotion render LegasiDemo out/legasi-demo.mp4

Bundling 6%
Bundling 21%
Bundling 65%
Bundling 71%
Bundling 76%
Bundling 81%
Bundling 87%
Bundling 92%
Bundling 98%
Bundling 100%
Getting composition
Composition          LegasiDemo
Codec                h264
Output               out/legasi-demo.mp4
Concurrency          1x
Rendered 0/4500
Rendered 1/4500, time remaining: 41m 54s
Rendered 2/4500, time remaining: 24m 39s
Rendered 3/4500, time remaining: 18m 56s
Rendered 4/4500, time remaining: 16m 4s
Rendered 5/4500, time remaining: 14m 21s
Rendered 6/4500, time remaining: 13m 12s
Rendered 7/4500, time remaining: 12m 23s
Rendered 8/4500, time remaining: 11m 46s
Rendered 9/4500, time remaining: 11m 19s
Rendered 10/4500, time remaining: 11m 2s
Rendered 11/4500, time remaining: 10m 42s
Rendered 12/4500, time remaining: 10m 26s
Rendered 13/4500, time remaining: 10m 12s
Rendered 14/4500, time remaining: 10m 0s
Rendered 15/4500, time remaining: 9m 50s
Rendered 16/4500, time remaining: 9m 41s
Rendered 17/4500, time remaining: 9m 33s
Rendered 18/4500, time remaining: 9m 22s
Rendered 19/4500, time remaining: 9m 16s
Rendered 20/4500, time remaining: 9m 12s
Rendered 21/4500, time remaining: 9m 8s
Rendered 22/4500, time remaining: 9m 4s
Rendered 23/4500, time remaining: 9m 0s
Rendered 24/4500, time remaining: 8m 56s
Rendered 25/4500, time remaining: 8m 52s
Rendered 26/4500, time remaining: 8m 49s
Rendered 27/4500, time remaining: 8m 45s
Rendered 28/4500, time remaining: 8m 43s
Rendered 29/4500, time remaining: 8m 40s
Rendered 30/4500, time remaining: 8m 45s
Rendered 31/4500, time remaining: 8m 50s
Rendered 32/4500, time remaining: 9m 14s
Rendered 33/4500, time remaining: 9m 20s
Rendered 34/4500, time remaining: 9m 17s
Rendered 35/4500, time remaining: 9m 13s
Rendered 36/4500, time remaining: 9m 10s
Rendered 37/4500, time remaining: 9m 7s
Rendered 38/4500, time remaining: 9m 5s
Rendered 39/4500, time remaining: 9m 2s
Rendered 40/4500, time remaining: 8m 59s
Rendered 41/4500, time remaining: 8m 57s
Rendered 42/4500, time remaining: 8m 55s
Rendered 43/4500, time remaining: 8m 52s
Rendered 44/4500, time remaining: 8m 51s
Rendered 45/4500, time remaining: 8m 48s
Rendered 46/4500, time remaining: 8m 46s
Rendered 47/4500, time remaining: 8m 45s
Rendered 48/4500, time remaining: 8m 43s
Rendered 49/4500, time remaining: 8m 41s
Rendered 50/4500, time remaining: 8m 41s
Rendered 51/4500, time remaining: 8m 39s
Rendered 52/4500, time remaining: 8m 38s
Rendered 53/4500, time remaining: 8m 36s
Rendered 54/4500, time remaining: 8m 35s
Rendered 55/4500, time remaining: 8m 33s
Rendered 56/4500, time remaining: 8m 32s
Rendered 57/4500, time remaining: 8m 31s
Rendered 58/4500, time remaining: 8m 29s
Rendered 59/4500, time remaining: 8m 28s
Rendered 60/4500, time remaining: 8m 27s
Rendered 61/4500, time remaining: 8m 26s
Rendered 62/4500, time remaining: 8m 25s
Rendered 63/4500, time remaining: 8m 24s
Rendered 64/4500, time remaining: 8m 23s
Rendered 65/4500, time remaining: 8m 22s
Rendered 66/4500, time remaining: 8m 21s
Rendered 67/4500, time remaining: 8m 20s
Rendered 68/4500, time remaining: 8m 19s
Rendered 69/4500, time remaining: 8m 18s
Rendered 70/4500, time remaining: 8m 17s
Rendered 71/4500, time remaining: 8m 16s
Rendered 72/4500, time remaining: 8m 15s
Rendered 73/4500, time remaining: 8m 14s
Rendered 74/4500, time remaining: 8m 13s
Rendered 75/4500, time remaining: 8m 13s
Rendered 76/4500, time remaining: 8m 12s
Rendered 77/4500, time remaining: 8m 11s
Rendered 78/4500, time remaining: 8m 10s
Rendered 79/4500, time remaining: 8m 10s
Rendered 80/4500, time remaining: 8m 9s
Rendered 81/4500, time remaining: 8m 8s
Rendered 82/4500, time remaining: 8m 8s
Rendered 83/4500, time remaining: 8m 7s
Rendered 84/4500, time remaining: 8m 6s
Rendered 85/4500, time remaining: 8m 6s
Rendered 86/4500, time remaining: 8m 5s
Rendered 87/4500, time remaining: 8m 4s
